Dens	Pres
1.76447	19.7716
1.74816	19.4371
1.75453	19.5679
1.72663	18.9961
1.76531	19.7887
1.74267	19.3249
1.74484	19.3692
1.62238	16.8587
1.79972	20.4943
1.71505	18.7584
1.75803	19.6398
1.76165	19.7139
1.74188	19.3082
1.75475	19.5722
1.75017	19.4785
1.68789	18.2014
1.75532	19.5842
1.76763	19.8365
1.61756	16.76
1.35422	11.3609
1.06414	5.41413
0.905915	2.17076
1.19698	8.13736
1.36176	11.5155
0.920806	2.47606
1.52203	14.8015
1.77783	20.0457
1.7231	18.9234
1.75971	19.6738
1.61816	16.7722
1.15288	7.23344
1.36436	11.569
1.62543	16.9213
1.6162	16.7322
1.35357	11.3474
1.62849	16.9843
1.62017	16.8137
1.62749	16.9635
1.6274	16.9616
1.62577	16.9282
1.62085	16.8276
1.6256	16.9249
1.62368	16.8853
1.63067	17.0287
1.40969	12.4983
1.52978	14.9601
1.62109	16.8319
1.61952	16.8003
1.61945	16.7988
1.62397	16.891
1.62064	16.8228
1.62234	16.8579
1.36574	11.5969
1.6264	16.9411
1.62191	16.8491
1.61464	16.7002
1.61837	16.7765
1.62632	16.9396
1.52665	14.8959
1.60049	16.41
1.05457	5.21741
1.66532	17.7388
1.61713	16.7511
1.61935	16.7968
1.06789	5.49046
1.19839	8.16637
1.36524	11.5868
1.51788	14.7162
1.20399	8.28069
1.35753	11.4287
1.48733	14.0893
1.6189	16.7875
1.61451	16.6974
1.62224	16.8558
1.07485	5.63347
1.01358	4.37783
1.37451	11.7768
1.3286	10.8351
1.52903	14.9448
1.51703	14.6989
0.914356	2.34379
0.916666	2.39126
1.51672	14.6924
1.52439	14.85
1.07108	5.55643
0.910821	2.27132
1.52119	14.784
1.0585	5.29823
0.9417	2.90442
1.34552	11.1824
0.888164	1.80698
1.61969	16.8035
1.53172	14.9999
1.35537	11.3841
1.20455	8.29238
1.52772	14.918
1.70583	18.5704
1.2704	9.64226
0.919562	2.45043
1.19799	8.15766
1.07293	5.59379
1.52011	14.762
1.52686	14.9004
1.19914	8.18137
0.881794	1.67665
1.24382	9.09781
0.909666	2.2478
1.20519	8.30486
1.52181	14.797
1.70285	18.508
0.930201	2.66861
1.48615	14.0655
1.07557	5.64848
1.28386	9.91753
1.36092	11.4983
1.49592	14.2653
1.70106	18.4715
1.18809	7.95472
1.09209	5.9868
1.25041	9.23298
1.07175	5.56952
1.69036	18.2521
1.19583	8.11271
1.19658	8.12875
1.20062	8.21122
0.912961	2.31513
0.88632	1.76951
0.910917	2.27342
0.914168	2.34004
1.07708	5.67903
1.25994	9.42734
1.3588	11.4547
1.5217	14.7946
1.71521	18.7615
0.89984	2.04614
1.18081	7.80438
0.866896	1.37176
1.04999	5.12323
0.927302	2.60917
1.07445	5.62438
1.23113	8.83671
1.69319	18.3102
1.20113	8.22231
1.47436	13.8238
1.26152	9.45989
1.46683	13.6689
1.1992	8.18259
0.925352	2.56923
1.21826	8.57327
1.26025	9.43336
1.0805	5.74923
1.23106	8.83601
1.16936	7.57036
1.07884	5.71472
1.49515	14.2492
1.0728	5.59137
1.28194	9.87866
0.905205	2.15616
0.908547	2.22467
0.910449	2.2637
1.48572	14.0564
1.20166	8.23278
0.898148	2.01136
1.2077	8.35609
1.69297	18.3053
1.22959	8.80453
1.28253	9.88944
1.08284	5.79673
0.934318	2.75271
0.9079	2.21137
0.915541	2.36819
0.909847	2.25144
1.20371	8.27528
0.91325	2.32129
1.08791	5.90078
1.06667	5.46548
0.908297	2.2194
1.06989	5.53174
1.06894	5.51238
1.06862	5.50548
1.55725	15.5232
1.06666	5.46517
0.920632	2.47217
0.938154	2.83135
0.905555	2.16343
0.904552	2.1427
0.921099	2.482
0.91611	2.37965
1.06584	5.44865
0.912256	2.30076
0.913672	2.32963
0.92442	2.55023
0.908969	2.23342
1.06471	5.42539
1.49813	14.3108
1.7393	19.2557
1.06279	5.38558
0.902182	2.0938
1.08655	5.87273
1.44647	13.2511
0.908337	2.21997
1.06662	5.46463
0.912194	2.29957
1.08575	5.8565
1.26225	9.47454
1.06458	5.42266
1.08899	5.92306
1.06862	5.50556
1.07147	5.56371
1.09027	5.94948
1.0765	5.66638
1.21716	8.54938
0.883799	1.71729
1.34868	11.2462
1.09045	5.95257
1.06947	5.52284
1.08913	5.92596
0.912975	2.31556
0.913073	2.3175
1.07208	5.57616
1.38085	11.9073
1.26234	9.4766
1.73938	19.257
1.48251	13.9904
1.67154	17.866
1.72722	19.0077
1.75497	19.5771
1.74886	19.4517
1.75492	19.576
1.7379	19.227
1.75343	19.5461
1.52508	14.8633
1.52194	14.7993
1.76586	19.8003
1.75324	19.5414
1.72292	18.92
1.75516	19.5808
1.75438	19.5642
1.75155	19.5065
1.76881	19.8605
1.73289	19.1246
1.71949	18.8496
1.74448	19.3621
1.76011	19.6825
1.74341	19.3399
1.70963	18.6486
1.76676	19.8186
1.76708	19.8252
1.7745	19.9773
1.50735	14.5001
1.73647	19.1978
1.74789	19.4317
1.74413	19.3543
1.74511	19.3745
1.76714	19.8265
1.40119	12.3241
1.75279	19.5325
1.23649	8.94589
1.75646	19.6074
1.74754	19.4244
1.75181	19.5122
1.75489	19.5751
1.75771	19.6333
1.7776	20.0409
1.74122	19.2952
1.75478	19.5731
1.74864	19.4471
1.75352	19.5471
1.73686	19.2052
1.63001	17.0152
1.68061	18.0522
1.77458	19.9784
1.75555	19.5889
1.61586	16.7253
1.46903	13.7137
1.61847	16.7881
1.35661	11.4099
1.50588	14.47
1.35956	11.4704
1.6315	17.0458
1.19531	8.10264
1.25981	9.42461
1.75088	19.493
1.76719	19.8275
1.55513	15.4802
1.52983	14.9611
1.7398	19.266
1.2765	9.76647
1.7516	19.5081
1.74967	19.4682
1.73984	19.2666
1.07453	5.62672
1.77761	20.0411
1.48144	13.9686
1.74756	19.4252
1.68833	18.2109
0.919176	2.44245
1.7283	19.0298
0.931724	2.69952
1.01396	4.38533
1.38263	11.9433
1.74819	19.4379
1.62708	16.9549
1.75305	19.5375
1.77329	19.9525
1.706	18.5726
1.52749	14.9133
1.35771	11.4322
1.2033	8.26684
1.51995	14.759
1.36594	11.6009
1.62615	16.9359
1.36997	11.6837
1.75634	19.6044
1.31201	10.4962
