X	Y	Z
-6.37971	-8.86214	-7.43151
-7.36328	-8.86137	-8.03285
-4.48899	-8.86045	-6.90322
-4.93651	-8.03509	-6.58236
-2.94612	-8.86157	-8.06941
-1.55806	-8.86178	-8.03139
-0.888767	-8.86201	-8.03874
0.246953	-8.85718	-8.85483
1.18128	-8.86148	-8.08623
0.76705	-7.98518	-7.25362
3.49743	-8.86023	-7.4007
4.5748	-8.86197	-8.05888
4.43984	-8.86129	-6.37979
6.49892	-8.86171	-8.0608
7.09947	-8.85958	-6.8581
-8.86243	-8.86067	-8.41777
-5.98892	-8.86169	-6.84403
-5.27963	-8.86175	-8.07172
-3.35745	-8.85774	-8.85394
-2.62015	-7.21505	-8.84783
-2.44029	-5.60446	-8.83214
-2.28951	-4.77735	-8.82152
-1.55281	-6.41369	-8.84192
0.330897	-7.22486	-8.84778
4.80842	-4.81254	-8.82272
1.93323	-7.99324	-8.853
3.84649	-8.86149	-8.06415
5.18145	-8.86156	-7.97445
6.07344	-8.86118	-7.37415
7.03284	-8.85737	-8.85445
-8.84146	-6.91291	-8.84287
-8.86677	-8.8561	-8.87341
-6.07716	-8.85816	-8.85485
-3.81157	-8.85748	-8.85519
-4.18254	-7.21495	-8.84831
-1.55428	-8.8578	-8.85442
-1.10632	-8.85711	-8.85385
-0.205363	-8.85767	-8.85494
1.15838	-8.85763	-8.85598
1.61377	-8.85744	-8.85593
3.42686	-8.85736	-8.85471
3.87941	-8.85782	-8.8556
6.12889	-8.85786	-8.8547
7.93812	-8.85785	-8.85536
8.85451	-8.16749	-8.85512
-6.76589	-7.99336	-8.85377
-7.87917	-8.85783	-8.85447
-5.17105	-8.85758	-8.85507
-4.71875	-8.85777	-8.85473
-2.90638	-8.85779	-8.85487
-2.45419	-8.85738	-8.85438
-0.656384	-8.85765	-8.85419
-0.403705	-7.21672	-8.84774
0.703114	-8.85783	-8.85554
2.07489	-8.85774	-8.85627
2.9737	-8.85746	-8.85426
4.78463	-8.85744	-8.85441
5.23216	-8.85812	-8.85366
6.69681	-7.99813	-8.85392
8.85939	-8.86091	-8.2986
-7.95108	-5.30202	-6.05506
-8.33715	-8.86002	-8.86239
-6.98095	-8.85775	-8.85432
-4.26573	-8.85746	-8.85459
-4.02312	-5.63683	-8.83346
-2.34108	-6.43019	-8.84192
-1.13429	-7.21323	-8.84851
-0.0905608	-7.99018	-8.85336
2.34401	-6.47876	-8.84214
1.8612	-7.23311	-8.8479
4.00284	-7.211	-8.01455
4.32978	-8.85715	-8.85483
5.6767	-8.85729	-8.85376
7.48598	-8.8578	-8.8546
8.83646	-6.31621	-8.83776
-8.83107	-5.5844	-8.83117
-8.01316	-7.27774	-8.84789
-7.23932	-7.19108	-8.84785
-5.41861	-7.98947	-8.85335
-4.09369	-7.98246	-8.85332
-1.4157	-4.76491	-8.82191
-2.76646	-4.44227	-6.51829
-0.766464	-7.99118	-8.8534
1.26138	-7.99418	-8.85308
0.846034	-5.62787	-8.83432
3.27144	-4.77362	-8.82032
3.95221	-7.9894	-8.85385
7.20236	-5.63273	-8.83258
8.06335	-4.82198	-8.82408
7.23703	-7.21689	-8.84692
-8.8204	-4.74457	-7.37061
