X	Y	Z	Mass
-0.0622625	-0.00782831	0.00337545	1
-0.0310999	-0.0012665	-0.0481506	1
-0.0462456	-2.59875e-005	0.051197	1
-0.0412429	0.00410847	0.0509389	1
-0.0635987	0.00132142	-0.00208989	1
-0.120414	0.00717156	0.000332903	1
-0.147979	0.0155442	0.0201674	1
-0.0952033	0.0080825	0.00429586	1
-0.0868733	0.00261746	-0.00269563	1
-0.226773	0.00339315	0.0127665	1
-0.199074	0.027731	-0.0115226	1
-0.125757	-0.0141578	0.0142289	1
-0.415771	-0.0132744	0.134324	1
-0.136299	0.030014	0.00332048	1
-0.0361128	-0.0038511	0.0666795	1
-0.00447251	-0.00808818	0.0139312	1
-0.0380343	-0.003474	-0.0355884	1
-0.0652105	-0.00660167	0.0144471	1
-0.0670114	-0.000741741	-0.00469626	1
-0.150184	-0.0252094	-0.0104426	1
-0.304912	0.081652	0.010381	1
-0.331781	-0.0655948	0.152278	1
-0.24414	0.106531	0.0016404	1
-0.288697	0.136609	0.00624462	1
-0.235592	0.0474275	0.216976	1
-0.279816	0.0652187	0.00975232	1
-0.268096	-0.00481763	0.0393289	1
-0.221279	0.0339879	0.00786834	1
-0.20071	-0.0188794	0.0719162	1
-0.0681689	0.0423842	0.00820597	1
0.00849427	-0.0466519	0.0472668	1
0.0533913	-0.0187281	0.239353	1
-0.0366891	0.00316268	-0.0031891	1
-0.0798005	-0.0109533	-0.0153856	1
-0.148073	0.0129053	-0.0025835	1
-0.0845201	0.00320229	-0.00237131	1
-0.115	0.00602034	0.010049	1
-0.0774317	-0.000335801	-0.000569746	1
-0.0892317	-0.00398997	0.01063	1
-0.0846921	0.0106074	0.00203313	1
-0.125713	0.0439998	0.00860812	1
-0.143421	0.0615917	0.0100662	1
-0.133383	0.00729341	0.00491813	1
-0.0542517	-0.0333999	-0.0035547	1
-0.00731093	0.0880197	-0.00331658	1
-0.0511089	0.00401736	0.00496344	1
-0.0459607	-0.00300889	-0.00682913	1
-0.0342749	-0.000227932	0.000148283	1
-0.0277595	0.00141265	0.00205095	1
-0.0525028	-0.00151414	-0.00464936	1
